title,director,year,link,rating,wins,nominations,genres
The Babadook,Jennifer Kent,2014,https://www.imdb.com/title/tt2321549/,6.8,56.0,64.0,"['Monster Horror', 'Psychological Horror', 'Supernatural Horror', 'Drama', 'Horror', 'Mystery']"
13th,Ava DuVernay,2016,https://www.imdb.com/title/tt5895028/,8.2,32.0,47.0,"['History Documentary', 'Political Documentary', 'Crime', 'Documentary', 'History']"
Monster,Patty Jenkins,2003,https://www.imdb.com/title/tt0340855/,7.3,31.0,26.0,"['Serial Killer', 'Tragedy', 'True Crime', 'Biography', 'Crime', 'Drama', 'Thriller']"
Bright Star,Jane Campion,2009,https://www.imdb.com/title/tt0810784/,6.9,16.0,54.0,"['Costume Drama', 'Period Drama', 'Biography', 'Drama', 'Romance']"
The Headless Woman,Lucrecia Martel,2008,https://www.imdb.com/title/tt1221141/,,9.0,19.0,"['Drama', 'Mystery', 'Thriller']"
Happy as Lazzaro,Alice Rohrwacher,2018,https://www.imdb.com/title/tt6752992/,7.5,18.0,52.0,"['Coming-of-Age', 'Suspense Mystery', 'Drama', 'Fantasy', 'Mystery']"
"Harlan County, USA",Barbara Kopple,1976,https://www.imdb.com/title/tt0074605/,8.2,9.0,1.0,['Documentary']
Outrage,Ida Lupino,1950,https://www.imdb.com/title/tt0042824/,6.7,,,"['Film Noir', 'Crime', 'Drama']"
Salaam Bombay!,Mira Nair,1988,https://www.imdb.com/title/tt0096028/,7.9,13.0,8.0,"['Docudrama', 'Crime', 'Drama']"
The Asthenic Syndrome,Kira Muratova,1989,https://www.imdb.com/title/tt0096841/,6.6,3.0,4.0,['Drama']
An Angel at my Table,Jane Campion,1990,https://www.imdb.com/title/tt0099040/,7.4,19.0,5.0,"['Coming-of-Age', 'Biography', 'Drama']"
Near Dark,Kathryn Bigelow,1987,https://www.imdb.com/title/tt0093605/,6.9,1.0,9.0,"['Contemporary Western', 'Dark Comedy', 'Vampire Horror', 'Horror']"
Triumph of the Will,Leni Riefenstahl,1935,https://www.imdb.com/title/tt0025913/,7.1,1.0,1.0,"['Epic', 'Historical Epic', 'History Documentary', 'Military Documentary', 'Political Documentary', 'Documentary', 'History']"
American Honey,Andrea Arnold,2016,https://www.imdb.com/title/tt3721936/,7.0,13.0,43.0,"['Road Trip', 'Adventure', 'Drama', 'Romance']"
The Virgin Suicides,Sofia Coppola,1999,https://www.imdb.com/title/tt0159097/,7.2,3.0,14.0,"['Coming-of-Age', 'Teen Drama', 'Tragedy', 'Drama', 'Romance']"
The Adventures of Prince Achmed,Lotte Reiniger,1926,https://www.imdb.com/title/tt0015532/,7.8,,,"['Adventure Epic', 'Desert Adventure', 'Epic', 'Fantasy Epic', 'Period Drama', 'Romantic Epic', 'Stop Motion Animation', 'Sword & Sorcery', 'Tragedy', 'Adventure']"
Capernaum,Nadine Labaki,2018,https://www.imdb.com/title/tt8267604/,8.4,37.0,55.0,"['Coming-of-Age', 'Legal Drama', 'Drama']"
Boys Don’t Cry,Kimberly Peirce,1999,https://www.imdb.com/title/tt0171804/,7.5,50.0,39.0,"['Coming-of-Age', 'Docudrama', 'Tragic Romance', 'True Crime', 'Biography', 'Crime', 'Drama', 'Romance']"
Portrait of a Lady on Fire,Céline Sciamma,2019,https://www.imdb.com/title/tt8613070/,8.1,60.0,164.0,"['Steamy Romance', 'Drama', 'Romance']"
Paris is Burning,Jennie Livingston,1990,https://www.imdb.com/title/tt0100332/,8.2,17.0,1.0,['Documentary']
Olympia,Leni Riefenstahl,1938,https://www.imdb.com/title/tt0030522/,7.7,,,"['Sports Documentary', 'Documentary', 'Sport']"
Wendy and Lucy,Kelly Reichardt,2008,https://www.imdb.com/title/tt1152850/,7.1,9.0,16.0,"['Tragedy', 'Drama']"
The Matrix,Lana and Lilly Wachowski,1999,https://www.imdb.com/title/tt0133093/,8.7,42.0,52.0,"['Action Epic', 'Artificial Intelligence', 'Cyberpunk', 'Dystopian Sci-Fi', 'Gun Fu', 'Martial Arts', 'Sci-Fi Epic', 'Action', 'Sci-Fi']"
Morvern Callar,Lynne Ramsay,2002,https://www.imdb.com/title/tt0300214/,6.8,10.0,16.0,['Drama']
You Were Never Really Here,Lynne Ramsay,2017,https://www.imdb.com/title/tt5742374/,6.7,24.0,78.0,"['Crime', 'Drama', 'Thriller']"
The Night Porter,Liliana Cavani,1974,https://www.imdb.com/title/tt0071910/,6.6,,,"['Psychological Drama', 'Drama']"
The Gleaners and I,Agnès Varda,2000,https://www.imdb.com/title/tt0247380/,7.7,16.0,3.0,['Documentary']
Zama,Lucrecia Martel,2017,https://www.imdb.com/title/tt3409848/,6.7,42.0,48.0,"['Drama', 'History']"
Monsoon Wedding,Mira Nair,2001,https://www.imdb.com/title/tt0265343/,7.3,7.0,12.0,"['Feel-Good Romance', 'Romantic Comedy', 'Comedy', 'Drama', 'Romance']"
Le Bonheur,Agnès Varda,1965,https://www.imdb.com/title/tt0058985/,7.6,3.0,3.0,"['Tragedy', 'Tragic Romance', 'Drama', 'Romance']"
Selma,Ava DuVernay,2014,https://www.imdb.com/title/tt1020072/,7.5,58.0,91.0,"['Docudrama', 'Period Drama', 'Biography', 'Drama', 'History']"
Stories we Tell,Sarah Polley,2012,https://www.imdb.com/title/tt2366450/,7.5,25.0,44.0,['Documentary']
The House is Black,Forugh Farrokhzad,1963,https://www.imdb.com/title/tt0336693/,7.8,,,"['Documentary', 'Short']"
Lady Bird,Greta Gerwig,2017,https://www.imdb.com/title/tt4925292/,7.4,124.0,228.0,"['Coming-of-Age', 'Quirky Comedy', 'Teen Comedy', 'Comedy', 'Drama']"
The Hitch-Hiker,Ida Lupino,1953,https://www.imdb.com/title/tt0045877/,6.9,,,"['Film Noir', 'Crime', 'Drama', 'Thriller']"
We Need to Talk About Kevin,Lynne Ramsay,2011,https://www.imdb.com/title/tt1242460/,7.4,26.0,66.0,"['Tragedy', 'Drama', 'Mystery', 'Thriller']"
Winter’s Bone,Debra Granik,2010,https://www.imdb.com/title/tt1399683/,7.1,63.0,131.0,"['Mountain Adventure', 'Quest', 'Survival', 'Suspense Mystery', 'Teen Drama', 'Crime', 'Drama', 'Mystery', 'Thriller']"
Clueless,Amy Heckerling,1995,https://www.imdb.com/title/tt0112697/,6.9,6.0,12.0,"['Coming-of-Age', 'Feel-Good Romance', 'Romantic Comedy', 'Satire', 'Teen Comedy', 'Teen Romance', 'Comedy', 'Romance']"
Orlando,Sally Potter,1992,https://www.imdb.com/title/tt0107756/,7.1,15.0,11.0,"['Period Drama', 'Biography', 'Drama', 'Fantasy', 'Romance']"
American Psycho,Mary Harron,2000,https://www.imdb.com/title/tt0144084/,7.6,7.0,11.0,"['Dark Comedy', 'Psychological Drama', 'Psychological Horror', 'Serial Killer', 'Slasher Horror', 'Workplace Drama', 'Crime', 'Drama', 'Horror']"
Seven Beauties,Lina Wertmüller,1975,https://www.imdb.com/title/tt0075040/,7.7,2.0,9.0,"['Comedy', 'Drama', 'War']"
Wanda,Barbara Loden,1970,https://www.imdb.com/title/tt0067961/,7.1,,,"['Heist', 'Psychological Drama', 'Tragedy', 'Crime', 'Drama']"
The Swamp,Lucrecia Martel,2001,https://www.imdb.com/title/tt0240419/,7.0,16.0,8.0,"['Comedy', 'Drama']"
Point Break,Kathryn Bigelow,1991,https://www.imdb.com/title/tt0102685/,7.3,1.0,2.0,"['Heist', 'Action', 'Crime', 'Thriller']"
Vagabond,Agnès Varda,1985,https://www.imdb.com/title/tt0089960/,7.6,8.0,5.0,"['Psychological Drama', 'Tragedy', 'Drama']"
Zero Dark Thirty,Kathryn Bigelow,2012,https://www.imdb.com/title/tt1790885/,7.4,85.0,174.0,"['Docudrama', 'Political Drama', 'Political Thriller', 'Drama', 'History', 'Thriller']"
The Ascent,Larisa Shepitko,1977,https://www.imdb.com/title/tt0075404/,8.2,,,"['Psychological Drama', 'Drama', 'War']"
Daughters of the Dust,Julie Dash,1991,https://www.imdb.com/title/tt0104057/,6.6,4.0,2.0,"['Drama', 'History', 'Romance']"
Fish Tank,Andrea Arnold,2009,https://www.imdb.com/title/tt1232776/,7.3,21.0,30.0,"['Coming-of-Age', 'Teen Drama', 'Drama']"
Toni Erdmann,Maren Ade,2016,https://www.imdb.com/title/tt4048272/,7.3,59.0,85.0,"['Psychological Drama', 'Quirky Comedy', 'Comedy', 'Drama']"
The Hurt Locker,Kathryn Bigelow,2008,https://www.imdb.com/title/tt0887912/,7.5,125.0,130.0,"['Psychological Drama', 'Drama', 'Thriller', 'War']"
Daisies,Věra Chytilová,1966,https://www.imdb.com/title/tt0060959/,7.2,1.0,1.0,"['Coming-of-Age', 'Dark Comedy', 'Satire', 'Screwball Comedy', 'Slapstick', 'Teen Comedy', 'Comedy']"
Lost in Translation,Sofia Coppola,2003,https://www.imdb.com/title/tt0335266/,7.7,97.0,133.0,"['Coming-of-Age', 'Comedy', 'Drama']"
Beau Travail,Claire Denis,1999,https://www.imdb.com/title/tt0209933/,7.3,6.0,12.0,"['Drama', 'War']"
"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",Chantal Akerman,1975,https://www.imdb.com/title/tt0073198/,7.5,,,"['Psychological Drama', 'Drama']"
Cléo from 5 to 7,Agnès Varda,1962,https://www.imdb.com/title/tt0055852/,7.8,2.0,1.0,"['Psychological Drama', 'Comedy', 'Drama', 'Music']"
The Piano,Jane Campion,1993,https://www.imdb.com/title/tt0107822/,7.5,65.0,57.0,"['Costume Drama', 'Period Drama', 'Steamy Romance', 'Drama', 'Music', 'Romance']"
