gender,rating,wins,director
males,8.1,135.0,Wes Anderson
males,7.5,8.0,Charlie Kaufman
males,8.1,245.0,George Miller
males,7.8,62.0,Michael Haneke
males,8.2,109.0,Guillermo Del Toro
males,7.0,29.0,Leos Carax
males,7.9,41.0,Cristian Mungiu
males,8.2,55.0,Joshua Oppenheimer
males,7.9,49.0,Alfonso Cuarón
males,7.7,3.0,David Fincher
males,8.3,89.0,Asghar Farhadi
males,8.1,14.0,Edward Yang
males,6.8,117.0,Terrence Malick
males,8.3,73.0,Michel Gondry
males,7.9,178.0,Richard Linklater
males,8.6,58.0,Hayao Miyazaki
males,8.2,114.0,Paul Thomas Anderson
males,8.1,45.0,Wong Kar-wai
males,7.9,50.0,David Lynch
