Title,Year,Director,Link,Rating,Wins,Nominations,Genres
Turning Red,2022,Domee Shi,https://www.imdb.com/title/tt8097030/,6.9,11.0,93.0,"['Coming-of-Age', 'Computer Animation', 'Teen Comedy', 'Teen Drama', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy']"
The Woman King,2022,Gina Prince-Bythewood,https://www.imdb.com/title/tt8093700/,6.9,28.0,126.0,"['Action Epic', 'Historical Epic', 'Action', 'Drama', 'History']"
"Good Luck to You, Leo Grande",2022,Sophie Hyde,https://www.imdb.com/title/tt13352968/,7.2,9.0,36.0,"['Quirky Comedy', 'Comedy', 'Drama']"
Aftersun,2022,Charlotte Wells,https://www.imdb.com/title/tt19770238/,7.6,96.0,186.0,"['Coming-of-Age', 'Teen Drama', 'Drama']"
Hatching,2022,Hanna Bergholm,https://www.imdb.com/title/tt12519030/,6.2,6.0,11.0,"['Body Horror', 'Monster Horror', 'Drama', 'Fantasy', 'Horror']"
Piggy,2022,Carlota Pereda,https://www.imdb.com/title/tt10399608/,6.2,10.0,29.0,"['Slasher Horror', 'Drama', 'Horror', 'Thriller']"
Deadstream,2022,Joseph Winter,https://www.imdb.com/title/tt12788488/,6.4,2.0,6.0,"['Found Footage Horror', 'Supernatural Horror', 'Comedy', 'Horror']"
Nanny,2022,Nikyatu Jusu,https://www.imdb.com/title/tt10931784/,5.3,11.0,18.0,"['Supernatural Horror', 'Drama', 'Horror']"
You Can Live Forever,2022,Sarah Watts,https://www.imdb.com/title/tt15782570/,6.8,1.0,2.0,"['Coming-of-Age', 'Tragic Romance', 'Drama', 'Romance']"
Leonor Will Never Die,2022,Martika Ramirez Escobar,https://www.imdb.com/title/tt16377714/,6.6,20.0,45.0,"['Action', 'Comedy', 'Drama']"
The Unknown Country,2022,Morrisa Maltz,https://www.imdb.com/title/tt12783826/,6.3,6.0,14.0,"['Adventure', 'Drama', 'Mystery', 'Romance']"
Chile '76,2022,Manuela Martelli,https://www.imdb.com/title/tt19758012/,6.7,19.0,20.0,['Drama']
Other People's Children,2022,Rebecca Zlotowski,https://www.imdb.com/title/tt15403712/,6.8,3.0,9.0,"['Comedy', 'Drama', 'Romance']"
War Pony,2022,Riley Keough,https://www.imdb.com/title/tt16227002/,6.8,10.0,11.0,"['Crime', 'Drama']"
Falcon Lake,2022,Charlotte Le Bon,https://www.imdb.com/title/tt11448830/,7.0,10.0,24.0,"['Coming-of-Age', 'Drama', 'Fantasy', 'Romance']"
Revoir Paris,2022,Alice Winocour,https://www.imdb.com/title/tt15329224/,6.9,4.0,2.0,"['Crime', 'Drama', 'Thriller']"
Saint Omer,2022,Alice Diop,https://www.imdb.com/title/tt15376894/,6.8,21.0,50.0,['Drama']
Women Talking,2022,Sarah Polley,https://www.imdb.com/title/tt13669038/,6.9,65.0,166.0,"['Period Drama', 'Psychological Drama', 'Drama']"
Blue Jean,2022,Georgia Oakley,https://www.imdb.com/title/tt8649344/,7.0,14.0,27.0,"['Psychological Drama', 'Drama', 'History']"
Amanda,2022,Carolina Cavalli,https://www.imdb.com/title/tt18469872/,6.5,3.0,10.0,"['Comedy', 'Drama']"
Huesera: The Bone Woman,2022,Michelle Garza Cervera,https://www.imdb.com/title/tt11718516/,6.0,13.0,31.0,"['Body Horror', 'Folk Horror', 'Drama', 'Horror']"
Klondike,2022,Maryna Er Gorbach,https://www.imdb.com/title/tt16315948/,6.8,51.0,29.0,"['Political Drama', 'Drama', 'War']"
Alcarràs,2022,Carla Simón,https://www.imdb.com/title/tt11930126/,7.0,21.0,57.0,['Drama']
Vesper,2022,Kristina Buozyte,https://www.imdb.com/title/tt20225374/,6.0,7.0,10.0,"['Adventure Epic', 'Cyberpunk', 'Adventure', 'Drama', 'Sci-Fi']"
One Fine Morning,2022,Mia Hansen-Løve,https://www.imdb.com/title/tt13482828/,6.9,3.0,9.0,"['Drama', 'Romance']"
Pray Away,2020,Kristine Stolakis,https://www.imdb.com/title/tt11224358/,6.5,,,"['Faith & Spirituality Documentary', 'Documentary']"
Shiva Baby,2020,Emma Seligman,https://www.imdb.com/title/tt11317142/,7.1,12.0,43.0,"['Dark Comedy', 'Psychological Drama', 'Raunchy Comedy', 'Comedy', 'Drama']"
Together Together,2021,Nikole Beckwith,https://www.imdb.com/title/tt11285280/,6.4,2.0,8.0,"['Comedy', 'Drama']"
V/H/S/94,2021,Simon Barrett,https://www.imdb.com/title/tt14867006/,5.5,1.0,1.0,"['Body Horror', 'Found Footage Horror', 'Monster Horror', 'Splatter Horror', 'Supernatural Horror', 'Vampire Horror', 'Zombie Horror', 'Horror', 'Mystery', 'Thriller']"
Ailey,2021,Jamila Wignot,https://www.imdb.com/title/tt13622084/,6.8,,,"['Biography', 'Documentary', 'History', 'Music']"
Passing,2021,Rebecca Hall,https://www.imdb.com/title/tt8893974/,6.6,37.0,130.0,"['Period Drama', 'Drama', 'Mystery', 'Thriller']"
The Souvenir Part II,2021,Joanna Hogg,https://www.imdb.com/title/tt6992978/,7.1,9.0,17.0,"['Coming-of-Age', 'Tragic Romance', 'Workplace Drama', 'Drama', 'Romance']"
El Planeta,2021,Amalia Ulman,https://www.imdb.com/title/tt12788368/,6.4,11.0,14.0,"['Comedy', 'Drama']"
Street Gang: How We Got to Sesame Street,2021,Marilyn Agrelo,https://www.imdb.com/title/tt5618690/,8.0,3.0,3.0,"['History Documentary', 'Documentary', 'Family', 'History']"
Rita Moreno: Just a Girl Who Decided to Go For It,2021,Mariem Pérez Riera,https://www.imdb.com/title/tt10741846/,7.6,3.0,7.0,"['Biography', 'Documentary']"
Plan B,2021,Natalie Morales,https://www.imdb.com/title/tt13172796/,6.7,2.0,3.0,['Comedy']
In the Same Breath,2021,Nanfu Wang,https://www.imdb.com/title/tt13648230/,7.5,5.0,10.0,['Documentary']
The Novice,2021,Lauren Hadaway,https://www.imdb.com/title/tt11131464/,6.5,4.0,11.0,"['Psychological Drama', 'Water Sport', 'Drama', 'Sport']"
I'm Your Man,2021,Maria Schrader,https://www.imdb.com/title/tt13087796/,7.1,10.0,15.0,"['Artificial Intelligence', 'Romantic Comedy', 'Comedy', 'Drama', 'Romance', 'Sci-Fi']"
Petite Maman,2021,Céline Sciamma,https://www.imdb.com/title/tt13204490/,7.4,9.0,37.0,"['Coming-of-Age', 'Drama', 'Fantasy']"
The Rescue,2021,Elizabeth Chai Vasarhelyi,https://www.imdb.com/title/tt9098872/,8.3,16.0,40.0,"['Nature Documentary', 'Suspense Mystery', 'Action', 'Documentary', 'Mystery', 'Thriller']"
Attica,2021,Stanley Nelson,https://www.imdb.com/title/tt12482898/,7.5,2.0,14.0,"['Documentary', 'History']"
Becoming Cousteau,2021,Liz Garbus,https://www.imdb.com/title/tt10334438/,7.1,2.0,13.0,"['Adventure', 'Biography', 'Documentary']"
Julia,2021,Julie Cohen,https://www.imdb.com/title/tt13782428/,7.6,,,"['Food Documentary', 'Biography', 'Documentary']"
Hive,2021,Blerta Basholli,https://www.imdb.com/title/tt13648212/,7.1,21.0,15.0,['Drama']
Woodlands Dark and Days Bewitched: A History of Folk Horror,2021,Kier-La Janisse,https://www.imdb.com/title/tt13938338/,7.6,4.0,2.0,"['Faith & Spirituality Documentary', 'Folk Horror', 'Supernatural Horror', 'Documentary', 'Horror']"
CODA,2021,Sian Heder,https://www.imdb.com/title/tt10366460/,8.0,69.0,150.0,"['Coming-of-Age', 'Comedy', 'Drama', 'Music']"
The Power of the Dog,2021,Jane Campion,https://www.imdb.com/title/tt10293406/,6.8,287.0,324.0,"['Period Drama', 'Psychological Drama', 'Drama', 'Western']"
Happening,2021,Audrey Diwan,https://www.imdb.com/title/tt13880104/,7.4,27.0,49.0,"['Coming-of-Age', 'Period Drama', 'Drama']"
Hellbender,2021,John Adams,https://www.imdb.com/title/tt14905650/,5.8,3.0,3.0,"['Folk Horror', 'Horror']"
Neptune Frost,2021,Saul Williams,https://www.imdb.com/title/tt11873472/,6.5,3.0,17.0,"['Musical', 'Sci-Fi']"
The Pink Cloud,2021,Iuli Gerbase,https://www.imdb.com/title/tt3548874/,6.0,5.0,19.0,"['Drama', 'Sci-Fi']"
The Fallout,2021,Megan Park,https://www.imdb.com/title/tt11847410/,7.0,6.0,8.0,"['Coming-of-Age', 'Teen Drama', 'Drama']"
We're All Going to the World's Fair,2021,Jane Schoenbrun,https://www.imdb.com/title/tt13648224/,5.4,4.0,23.0,"['Coming-of-Age', 'Supernatural Horror', 'Drama', 'Horror']"
Murina,2021,Antoneta Alamat Kusijanovic,https://www.imdb.com/title/tt8434110/,6.8,9.0,18.0,"['Coming-of-Age', 'Drama']"
Anaïs in Love,2021,Charline Bourgeois-Tacquet,https://www.imdb.com/title/tt13142240/,6.4,3.0,5.0,"['Comedy', 'Drama', 'Romance']"
Clara Sola,2021,Nathalie Álvarez Mesén,https://www.imdb.com/title/tt12637442/,6.7,20.0,23.0,"['Drama', 'Fantasy']"
