Title,Year,Director,Link,Rating,Wins,Nominations,Genres
Wonder Woman,2017,Patty Jenkins,https://www.imdb.com/title/tt0451279/,7.3,38.0,75.0,"['Superhero', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'War']"
Most Beautiful Island,2017,Ana Asensio,https://www.imdb.com/title/tt4866448/,5.7,3.0,6.0,"['Drama', 'Horror', 'Thriller']"
School Life,2017,David Rane,https://www.imdb.com/title/tt6330246/,6.9,,,"['Comedy', 'Drama', 'Family']"
The Breadwinner,2017,Nora Twomey,https://www.imdb.com/title/tt3901826/,7.7,24.0,55.0,"['Coming-of-Age', 'Tragedy', 'Animation', 'Drama', 'Family', 'War']"
Bombshell: The Hedy Lamarr Story,2017,Alexandra Dean,https://www.imdb.com/title/tt6752848/,7.4,8.0,5.0,"['Biography', 'Documentary', 'History', 'War']"
Step,2017,Amanda Lipitz,https://www.imdb.com/title/tt5758404/,7.0,9.0,20.0,['Documentary']
Mudbound,2017,Dee Rees,https://www.imdb.com/title/tt2396589/,7.4,36.0,117.0,"['Drama', 'War']"
Whose Streets?,2017,Sabaah Folayan,https://www.imdb.com/title/tt6176928/,6.0,2.0,18.0,['Documentary']
Good Manners,2017,Juliana Rojas,https://www.imdb.com/title/tt5480782/,6.7,32.0,34.0,"['Dark Fantasy', 'Werewolf Horror', 'Fantasy', 'Horror']"
Trophy,2017,Shaul Schwarz,https://www.imdb.com/title/tt6333066/,7.3,2.0,6.0,['Documentary']
Lady Bird,2017,Greta Gerwig,https://www.imdb.com/title/tt4925292/,7.4,124.0,228.0,"['Coming-of-Age', 'Quirky Comedy', 'Teen Comedy', 'Comedy', 'Drama']"
Faces Places,2017,Agnès Varda,https://www.imdb.com/title/tt5598102/,7.8,36.0,41.0,"['Adventure', 'Documentary']"
Outside In,2017,Lynn Shelton,https://www.imdb.com/title/tt7260048/,6.7,2.0,2.0,['Drama']
Western,2017,Valeska Grisebach,https://www.imdb.com/title/tt5157326/,7.0,18.0,24.0,['Drama']
The Rider,2017,Chloé Zhao,https://www.imdb.com/title/tt6217608/,7.4,25.0,59.0,"['Drama', 'Western']"
Summer 1993,2017,Carla Simón,https://www.imdb.com/title/tt5897636/,7.1,38.0,58.0,"['Drama', 'Family']"
Marlina the Murderer in Four Acts,2017,Mouly Surya,https://www.imdb.com/title/tt5923026/,6.9,27.0,41.0,"['Drama', 'Thriller', 'Western']"
Tigers Are Not Afraid,2017,Issa López,https://www.imdb.com/title/tt4823434/,6.9,29.0,26.0,"['Supernatural Horror', 'Fantasy', 'Horror', 'Mystery']"
Oh Lucy!,2017,Atsuko Hirayanagi,https://www.imdb.com/title/tt6343058/,6.8,3.0,8.0,"['Comedy', 'Drama', 'Romance']"
Zama,2017,Lucrecia Martel,https://www.imdb.com/title/tt3409848/,6.7,42.0,48.0,"['Drama', 'History']"
I Am Not a Witch,2017,Rungano Nyoni,https://www.imdb.com/title/tt6213284/,6.9,17.0,38.0,"['Comedy', 'Drama']"
Sand Storm,2016,Elite Zexer,https://www.imdb.com/title/tt4365518/,6.8,15.0,19.0,['Drama']
Toni Erdmann,2016,Maren Ade,https://www.imdb.com/title/tt4048272/,7.3,59.0,85.0,"['Psychological Drama', 'Quirky Comedy', 'Comedy', 'Drama']"
Queen of Katwe,2016,Mira Nair,https://www.imdb.com/title/tt4341582/,7.4,4.0,30.0,"['Coming-of-Age', 'Biography', 'Drama', 'Sport']"
Nuts!,2016,Penny Lane,https://www.imdb.com/title/tt5236900/,7.1,3.0,6.0,"['Animation', 'Biography', 'Documentary']"
All This Panic,2016,Jenny Gage,https://www.imdb.com/title/tt5590718/,6.7,1.0,4.0,['Documentary']
The Edge of Seventeen,2016,Kelly Fremon Craig,https://www.imdb.com/title/tt1878870/,7.3,8.0,29.0,"['Coming-of-Age', 'Teen Comedy', 'Teen Drama', 'Comedy', 'Drama']"
The Love Witch,2016,Anna Biller,https://www.imdb.com/title/tt3908142/,6.2,3.0,5.0,"['Dark Comedy', 'Supernatural Horror', 'Comedy', 'Horror', 'Romance', 'Thriller']"
The Innocents,2016,Anne Fontaine,https://www.imdb.com/title/tt4370784/,7.3,3.0,13.0,"['Drama', 'History']"
13TH,2016,Ava DuVernay,https://www.imdb.com/title/tt5895028/,8.2,32.0,47.0,"['History Documentary', 'Political Documentary', 'Crime', 'Documentary', 'History']"
Bar Bahar,2016,Maysaloun Hamoud,https://www.imdb.com/title/tt5974388/,7.3,16.0,17.0,['Drama']
Kedi,2016,Ceyda Torun,https://www.imdb.com/title/tt4420704/,7.6,6.0,21.0,['Documentary']
Weiner,2016,Josh Kriegman,https://www.imdb.com/title/tt5278596/,7.6,8.0,54.0,"['Political Documentary', 'Documentary']"
Cameraperson,2016,Kirsten Johnson,https://www.imdb.com/title/tt5375040/,7.4,23.0,38.0,"['News', 'Biography', 'Documentary', 'History', 'War']"
Things to Come,2016,Mia Hansen-Løve,https://www.imdb.com/title/tt4120176/,6.9,9.0,25.0,['Drama']
The Hunting Ground,2015,Kirby Dick,https://www.imdb.com/title/tt4185572/,7.4,8.0,23.0,['Documentary']
Janis: Little Girl Blue,2015,Amy Berg,https://www.imdb.com/title/tt3707114/,7.4,2.0,2.0,"['Music Documentary', 'Biography', 'Documentary', 'Music']"
The Diary of a Teenage Girl,2015,Marielle Heller,https://www.imdb.com/title/tt3172532/,6.8,16.0,37.0,"['Coming-of-Age', 'Teen Comedy', 'Teen Drama', 'Comedy', 'Drama', 'Romance']"
Heart of a Dog,2015,Laurie Anderson,https://www.imdb.com/title/tt4935446/,7.0,4.0,13.0,['Documentary']
Mustang,2015,Deniz Gamze Ergüven,https://www.imdb.com/title/tt3966404/,7.6,46.0,63.0,"['Coming-of-Age', 'Drama']"
The Second Mother,2015,Anna Muylaert,https://www.imdb.com/title/tt3742378/,7.8,35.0,31.0,"['Comedy', 'Drama']"
Dark Horse,2015,Louise Osmond,https://www.imdb.com/title/tt4137902/,7.3,3.0,2.0,"['Sports Documentary', 'Documentary', 'Drama', 'Sport']"
Sherpa,2015,Jennifer Peedom,https://www.imdb.com/title/tt3746250/,7.6,5.0,11.0,['Documentary']
The Fits,2015,Anna Rose Holmer,https://www.imdb.com/title/tt4238858/,6.6,15.0,22.0,"['Drama', 'Music']"
She's Beautiful When She's Angry,2014,Mary Dore,https://www.imdb.com/title/tt3319508/,7.8,,,"['Documentary', 'History']"
"20,000 Days on Earth",2014,Iain Forsyth,https://www.imdb.com/title/tt2920540/,7.4,8.0,18.0,"['Documentary', 'Drama', 'Music']"
A Girl Walks Home Alone at Night,2014,Ana Lily Amirpour,https://www.imdb.com/title/tt2326554/,6.9,9.0,23.0,"['Dark Romance', 'Vampire Horror', 'Drama', 'Horror', 'Romance', 'Thriller']"
Citizenfour,2014,Laura Poitras,https://www.imdb.com/title/tt4044364/,8.0,44.0,40.0,"['History Documentary', 'Political Documentary', 'Biography', 'Documentary']"
The Babadook,2014,Jennifer Kent,https://www.imdb.com/title/tt2321549/,6.8,56.0,64.0,"['Monster Horror', 'Psychological Horror', 'Supernatural Horror', 'Drama', 'Horror', 'Mystery']"
Girlhood,2014,Céline Sciamma,https://www.imdb.com/title/tt3655522/,6.9,12.0,22.0,"['Coming-of-Age', 'Teen Drama', 'Drama']"
The Wonders,2014,Alice Rohrwacher,https://www.imdb.com/title/tt3044244/,6.7,12.0,18.0,['Drama']
Selma,2014,Ava DuVernay,https://www.imdb.com/title/tt1020072/,7.5,58.0,91.0,"['Docudrama', 'Period Drama', 'Biography', 'Drama', 'History']"
Gett: The Trial of Viviane Amsalem,2014,Ronit Elkabetz,https://www.imdb.com/title/tt3062880/,7.7,15.0,19.0,['Drama']
Appropriate Behavior,2014,Desiree Akhavan,https://www.imdb.com/title/tt3077108/,6.5,2.0,11.0,"['Comedy', 'Drama', 'Romance']"
Enough Said,2013,Nicole Holofcener,https://www.imdb.com/title/tt2390361/,7.0,8.0,38.0,"['Romantic Comedy', 'Comedy', 'Drama', 'Romance']"
Elaine Stritch: Shoot Me,2013,Chiemi Karasawa,https://www.imdb.com/title/tt2405792/,7.5,1.0,6.0,['Documentary']
The Crash Reel,2013,Lucy Walker,https://www.imdb.com/title/tt2499076/,8.2,13.0,8.0,"['Sports Documentary', 'Biography', 'Documentary', 'Sport']"
The Selfish Giant,2013,Clio Barnard,https://www.imdb.com/title/tt2304426/,7.3,12.0,21.0,['Drama']
Blackfish,2013,Gabriela Cowperthwaite,https://www.imdb.com/title/tt2545118/,8.1,6.0,41.0,"['Crime Documentary', 'Nature Documentary', 'Documentary', 'Drama', 'Horror', 'Thriller']"
The Square,2013,Jehane Noujaim,https://www.imdb.com/title/tt2486682/,8.0,16.0,16.0,"['News', 'Documentary', 'Drama', 'History']"
The Queen of Versailles,2012,Lauren Greenfield,https://www.imdb.com/title/tt2125666/,7.1,8.0,27.0,['Documentary']
West of Memphis,2012,Amy Berg,https://www.imdb.com/title/tt2130321/,7.9,1.0,10.0,"['Crime Documentary', 'Crime', 'Documentary']"
Brooklyn Castle,2012,Katie Dellamaggiore,https://www.imdb.com/title/tt1800266/,7.2,3.0,3.0,['Documentary']
Sister,2012,Ursula Meier,https://www.imdb.com/title/tt2062969/,7.0,12.0,10.0,"['Crime', 'Drama']"
Ai Weiwei: Never Sorry,2012,Alison Klayman,https://www.imdb.com/title/tt1845773/,7.5,9.0,15.0,['Documentary']
Lore,2012,Cate Shortland,https://www.imdb.com/title/tt1996310/,7.1,34.0,34.0,"['Drama', 'Romance', 'War']"
Stories We Tell,2012,Sarah Polley,https://www.imdb.com/title/tt2366450/,7.5,25.0,44.0,['Documentary']
Wadjda,2012,Haifaa Al-Mansour,https://www.imdb.com/title/tt2258858/,7.5,22.0,36.0,"['Coming-of-Age', 'Comedy', 'Drama']"
Call Me Kuchu,2012,Katherine Fairfax Wright,https://www.imdb.com/title/tt2088714/,7.6,16.0,13.0,['Documentary']
Pariah,2011,Dee Rees,https://www.imdb.com/title/tt1233334/,7.2,14.0,30.0,"['Coming-of-Age', 'Teen Drama', 'Drama']"
Being Elmo: A Puppeteer's Journey,2011,Constance Marks,https://www.imdb.com/title/tt1787660/,7.6,8.0,8.0,"['Biography', 'Documentary']"
Tomboy,2011,Céline Sciamma,https://www.imdb.com/title/tt1847731/,7.4,10.0,6.0,"['Coming-of-Age', 'Drama']"
First Position,2011,Bess Kargman,https://www.imdb.com/title/tt2008513/,7.5,5.0,9.0,['Documentary']
"Turn Me On, Dammit!",2011,Jannicke Systad Jacobsen,https://www.imdb.com/title/tt1650407/,6.3,5.0,7.0,"['Comedy', 'Romance']"
Sing Your Song,2011,Susanne Rostock,https://www.imdb.com/title/tt1787797/,7.5,5.0,2.0,"['Biography', 'Documentary', 'Music']"
Diana Vreeland: The Eye Has to Travel,2011,Lisa Immordino Vreeland,https://www.imdb.com/title/tt2053352/,7.5,1.0,3.0,"['Biography', 'Documentary']"
The Kids Are All Right,2010,Lisa Cholodenko,https://www.imdb.com/title/tt0842926/,7.0,29.0,133.0,"['Comedy', 'Drama', 'Romance']"
Winter's Bone,2010,Debra Granik,https://www.imdb.com/title/tt1399683/,7.1,63.0,131.0,"['Mountain Adventure', 'Quest', 'Survival', 'Suspense Mystery', 'Teen Drama', 'Crime', 'Drama', 'Mystery', 'Thriller']"
Waste Land,2010,Lucy Walker,https://www.imdb.com/title/tt1268204/,7.8,29.0,13.0,['Documentary']
The Arbor,2010,Clio Barnard,https://www.imdb.com/title/tt1623008/,7.3,8.0,26.0,"['Biography', 'Documentary', 'Drama']"
"Yoo-Hoo, Mrs. Goldberg",2009,Aviva Kempner,https://www.imdb.com/title/tt1334479/,7.4,,,"['Biography', 'Documentary']"
An Education,2009,Lone Scherfig,https://www.imdb.com/title/tt1174732/,7.2,36.0,96.0,"['Coming-of-Age', 'Drama']"
The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,2009,Judith Ehrlich,https://www.imdb.com/title/tt1319726/,7.7,5.0,3.0,['Documentary']
Sweetgrass,2009,Lucien Castaing-Taylor,https://www.imdb.com/title/tt1517252/,6.8,1.0,10.0,"['Adventure', 'Documentary', 'Western']"
Afghan Star,2009,Havana Marking,https://www.imdb.com/title/tt1334510/,7.2,3.0,3.0,"['Documentary', 'Music']"
A Film Unfinished,2009,Yael Hersonski,https://www.imdb.com/title/tt1568923/,7.4,6.0,11.0,"['Documentary', 'Drama', 'History']"
Trouble the Water,2008,Carl Deal,https://www.imdb.com/title/tt1149405/,7.3,7.0,14.0,['Documentary']
The Beaches of Agnès,2008,Agnès Varda,https://www.imdb.com/title/tt1129435/,8.0,12.0,13.0,"['Biography', 'Documentary']"
35 Shots of Rum,2008,Claire Denis,https://www.imdb.com/title/tt1100048/,7.1,2.0,17.0,"['Coming-of-Age', 'Drama']"
The Hurt Locker,2008,Kathryn Bigelow,https://www.imdb.com/title/tt0887912/,7.5,125.0,130.0,"['Psychological Drama', 'Drama', 'Thriller', 'War']"
Persepolis,2007,Marjane Satrapi,https://www.imdb.com/title/tt0808417/,8.0,29.0,58.0,"['Adult Animation', 'Coming-of-Age', 'Docudrama', 'Period Drama', 'Teen Drama', 'Animation', 'Biography', 'Drama', 'History', 'War']"
The Devil Came on Horseback,2007,Ricki Stern,https://www.imdb.com/title/tt0912580/,7.6,5.0,5.0,['Documentary']
Blame It on Fidel,2006,Julie Gavras,https://www.imdb.com/title/tt0792966/,7.5,1.0,5.0,['Drama']
Deep Water,2006,Louise Osmond,https://www.imdb.com/title/tt0460766/,7.8,4.0,2.0,"['Sports Documentary', 'Water Sport', 'Documentary', 'History', 'Sport']"
Blindsight,2006,Lucy Walker,https://www.imdb.com/title/tt0841084/,7.2,4.0,2.0,"['Mountain Adventure', 'Nature Documentary', 'Travel Documentary', 'Adventure', 'Documentary']"
The War Tapes,2006,Deborah Scranton,https://www.imdb.com/title/tt0775566/,7.2,2.0,1.0,"['Military Documentary', 'Documentary', 'War']"
Away From Her,2006,Sarah Polley,https://www.imdb.com/title/tt0491747/,7.5,62.0,43.0,['Drama']
Grbavica: The Land of My Dreams,2006,Jasmila Zbanic,https://www.imdb.com/title/tt0464029/,7.2,12.0,7.0,['Drama']
Control Room,2004,Jehane Noujaim,https://www.imdb.com/title/tt0391024/,7.6,9.0,10.0,"['Military Documentary', 'Documentary']"
Born Into Brothels,2004,Zana Briski,https://www.imdb.com/title/tt0388789/,7.2,21.0,5.0,"['News', 'Biography', 'Documentary']"
American Splendor,2003,Shari Springer Berman,https://www.imdb.com/title/tt0305206/,7.4,31.0,50.0,"['Biography', 'Comedy', 'Drama']"
Lost in Translation,2003,Sofia Coppola,https://www.imdb.com/title/tt0335266/,7.7,97.0,133.0,"['Coming-of-Age', 'Comedy', 'Drama']"
The Revolution Will Not Be Televised,2003,Kim Bartley,https://www.imdb.com/title/tt9063104/,7.1,,,['Biography']
The Story of the Weeping Camel,2003,Byambasuren Davaa,https://www.imdb.com/title/tt0373861/,7.4,10.0,9.0,"['Documentary', 'Drama', 'Family']"
Lost Boys of Sudan,2003,Megan Mylan,https://www.imdb.com/title/tt0383475/,7.5,3.0,3.0,['Documentary']
Since Otar Left,2003,Julie Bertuccelli,https://www.imdb.com/title/tt0336264/,7.5,12.0,6.0,['Drama']
The Wild Parrots of Telegraph Hill,2003,Judy Irving,https://www.imdb.com/title/tt0424565/,7.8,4.0,2.0,['Documentary']
Open Hearts,2002,Susanne Bier,https://www.imdb.com/title/tt0315543/,7.5,12.0,12.0,"['Drama', 'Romance']"
Monsoon Wedding,2001,Mira Nair,https://www.imdb.com/title/tt0265343/,7.3,7.0,12.0,"['Feel-Good Romance', 'Romantic Comedy', 'Comedy', 'Drama', 'Romance']"
Promises,2001,Justine Shapiro,https://www.imdb.com/title/tt0282864/,8.3,15.0,5.0,['Documentary']
The Taste of Others,2000,Agnès Jaoui,https://www.imdb.com/title/tt0216787/,7.2,16.0,12.0,"['Comedy', 'Drama', 'Romance']"
The Gleaners and I,2000,Agnès Varda,https://www.imdb.com/title/tt0247380/,7.7,16.0,3.0,['Documentary']
The Life and Times of Hank Greenberg,1999,Aviva Kempner,https://www.imdb.com/title/tt0208261/,7.6,12.0,8.0,"['Baseball', 'Sports Documentary', 'Biography', 'Documentary', 'Sport']"
